Tark,19395
Tag,19395
Tack,19395
Tahk,19395
Guk,18976
Kuk,18976
Kook,18976
Gook,18976
Kug,18976
Gug,18976
Cook,18976
Namgung,18743
Namkung,18743
Namgoong,18743
Namkoong,18743
Namkuhng,18743
Namguhng,18743
Eo,17551
Uh,17551
Urh,17551
Eoh,17551
Gyeong,15784
Kyung,15784
Kyoung,15784
Kyeong,15784
Kyong,15784
Eun,15657
Un,15657
Unn,15657
Pyeon,15308
Pyun,15308
Pyon,15308
Pyoun,15308
Pyen,15308
Yong,14067
Lyong,14067
Ye,12656
Yeh,12656
Bong,11819
Pong,11819
Bhong,11819
Bohng,11819
Pohng,11819
Vong,11819
Sa,10118
Sah,10118
Sar,10118
Bu,9592
Boo,9592
Pu,9592
Bou,9592
Poo,9592
Booh,9592
Buh,9592
Pou,9592
Pooh,9592
Hwangbo,9148
Hwangpo,9148
Ga,9090
Ka,9090
Kar,9090
Gar,9090
Kah,9090
Gah,9090
Bok,8644
Pok,8644
Pock,8644
Bog,8644
Pog,8644
Bock,8644
Mok,8191
Mock,8191
Mog,8191
Mork,8191
Tae,8165
T'ae,8165
Tai,8165
Tay,8165
Hyeong,6640
Hyung,6640
Hyoung,6640
Hyong,6640
Hyeung,6640
Pi,6303
P'i,6303
Pee,6303
Phee,6303
Phi,6303
Phy,6303
Pih,6303
Gye,6282
Kye,6282
Kyeh,6282
Kye,6282
Kay,6282
Kie,6282
Ho,6106
Hoh,6106
Gam,5998
Kam,5998
Kahm,5998
Gahm,5998
Du,5958
Tu,5958
Doo,5958
Do,5958
Dou,5958
Tou,5958
To,5958
Too,5958
Eum,5936
Um,5936
Em,5936
Yeum,5936
Dong,5564
Tong,5564
Dhong,5564
Thong,5564
Bin,5252
Pin,5252
Been,5252
Pihn,5252
Phin,5252
Bean,5252
Bihn,5252
Pean,5252
On,5081
Ohn,5081
Ohnn,5081
Jegal,4444
Chegal,4444
Jaegal,4444
Jekal,4444
Jeagal,4444
Chegal,4444
Chekal,4444
Sagong,4307
Sagong,4307
Sakong,4307
Sagoung,4307
Sakoung,4307
Si,3928
Shi,3928
See,3928
Sie,3928
Sea,3928
Seonu,3560
Sunwoo,3560
Seonwoo,3560
Sonu,3560
Sunoo,3560
Sunwou,3560
Seonwu,3560
Sonwu,3560
Beom,3472
Bum,3472
Bom,3472
Peom,3472
Pum,3472
